,cluster 0,z-score 0,cluster 1,z-score 1,cluster 2,z-score 2,cluster 3,z-score 3,cluster 4,z-score 4,cluster 5,z-score 5,cluster 6,z-score 6,cluster 7,z-score 7
0,value_TAF1,8.661212965379132,value_BRD3,0.06271963901859165,value_CDYL,0.7364160099258326,value_GFP,0.39317682954139466,value_GTF3C5,3.5044842267055016,value_RAD21,3.5287035157101547,value_H4K12ac,0.43796681751133765,value_KAT2A,0.1675039955186019
1,value_NEUROD1,6.959436474043672,value_ZNF92,0.022264761136185578,value_PSIP1,0.7168010745167077,value_BMI1,0.12939537201661938,value_ATF3,2.413516823640769,value_SMC1A,2.816426396987962,value_CTCFL,0.1421460615110788,value_ASCL1,0.1493291024704803
2,value_RNA_polymerase_II,6.775402748062322,value_SATB1,0.019380086497245777,value_H3K27me2,0.4041370343677809,value_H3K9me1,0.04688312411677742,value_GTF3C2,1.5519259027549426,value_STAG2,2.4095901872791496,value_CTCF,0.12005964369942046,value_H3K9me1,0.14874773475471034
3,value_H3K9ac,6.284242117053628,value_CHAT,0.015683797738604715,value_SOX3,0.3030852529514842,value_MCM3,0.03240145252982784,value_TEAD4,1.3720036526511177,value_STAG1,2.0494269235056533,value_POU3F2,0.11594405766660636,value_ATRX,0.1202526530749397
4,value_SMARCC2,6.001941447398322,value_MECP2,0.002742914425909765,value_REST,0.198496187566958,value_HDAC1,0.031690994353019405,value_DYRK1A,1.3557398405172505,value_SMC3,1.9272345372677149,value_TBX2,0.05403112856599524,value_MCM3,0.0936731565963911
5,value_H3K4me3,5.913075644236561,value_SOX2,0.0012687283854568821,value_H3K36me2,0.15988491701942997,value_H3K4me,0.02637279679596657,value_RBPJ,1.3294518871999033,value_PDS5A,1.620930144443277,value_ATRX,0.031315831838241985,value_H3K4me,0.08452411728669386
6,value_H3K9K14ac,5.7860818155643825,value_MAML3,0.0,value_H3R8me2,0.14587106101053735,value_SOX2,0.011185254811686376,value_ACSS2,0.954376618208981,value_CTCF,1.2006810185722672,value_AFF1,0.02056590977606666,value_HAND2,0.07814009661234532
7,value_BRD2,5.66296779096734,value_ERG,0.0,value_SMARCA4,0.13324008148728048,value_H2AK119ub,0.010731193605655047,value_FOSL2,0.7003867480724085,value_H4K12ac,0.9554056928237284,value_PARK7,0.0,value_H2AK119ub,0.0739929613316786
8,value_H2A.Z,5.508957964510359,value_CDK9,0.0,value_ISL1,0.12369224815699521,value_H3K9me2,0.009696560422148894,value_NRF1,0.4161655608080837,value_CTCFL,0.4665211031768208,value_MAML3,0.0,value_H3K27M,0.07354249665654128
9,value_CHD8,5.43022320685071,value_RB1,0.0,value_HDGF2,0.11922373802822023,value_H3K27M,0.005175055397625923,value_KAT2A,0.4010177404333899,value_AFF1,0.3537109421352407,value_MYB,0.0,value_H3K27me1,0.06580235895174912
10,value_H3K27ac,5.394193046756799,value_LRIF1,0.0,value_MECP2,0.10845380860533226,value_H3K18la,0.003609061073910073,value_STAG2,0.3435596639937989,value_WAPL,0.33973957101937835,value_H4R3me2,0.0,value_H4K20me3,0.04910971331655473
11,value_H4K16ac,5.10841556043003,value_LMO1,0.0,value_CHD4,0.08796989452356696,value_H3K27me1,0.003213174242092539,value_H3K36me3,0.24974219659333027,value_TOP2B,0.16289905315637435,value_CDK9,0.0,value_TWIST1,0.04282195272242955
